id,name,date,time,weekday,start_datetime_local,city,location,locations,time_bucket,company,primary_host,cohosts,all_hosts,host_keys,invite_only,sponsor_tier,event_url,partiful_id,source_url
4604,From Tissue to Treatment,2026-06-01,11:00:00,Monday,2026-06-01 11:00,New York City,Midtown,Midtown,Morning,AtlasXomics Inc.,AtlasXomics Inc.,,AtlasXomics Inc.,atlasxomics-inc,False,,https://partiful.com/e/CoVrmdYxgwtHlP7IkPoJ,CoVrmdYxgwtHlP7IkPoJ,https://www.tech-week.com/calendar/nyc
5715,Investors in the Cutting Edge Luncheon with Mercury,2026-06-01,11:00:00,Monday,2026-06-01 11:00,New York City,SoHo,SoHo,Morning,Actuate Ventures,Actuate Ventures,,Actuate Ventures,actuate-ventures,False,,https://partiful.com/e/q9Ekc1IjHSv32Xmd8hXB,q9Ekc1IjHSv32Xmd8hXB,https://www.tech-week.com/calendar/nyc
6364,ElevenLabs NY Tech Week PopUp,2026-06-01,11:00:00,Monday,2026-06-01 11:00,New York City,SoHo,SoHo,Morning,ElevenLabs,ElevenLabs,,ElevenLabs,elevenlabs,False,,https://partiful.com/e/hVN69QHHQKaL72l700kB,hVN69QHHQKaL72l700kB,https://www.tech-week.com/calendar/nyc
6415,ElevenLabs NY Tech Week PopUp,2026-06-01,11:00:00,Monday,2026-06-01 11:00,New York City,SoHo,SoHo,Morning,ElevenLabs,ElevenLabs,,ElevenLabs,elevenlabs,False,,https://partiful.com/e/hVN69QHHQKaL72l700kB,hVN69QHHQKaL72l700kB,https://www.tech-week.com/calendar/nyc
6416,ElevenLabs NY Tech Week PopUp,2026-06-01,11:00:00,Monday,2026-06-01 11:00,New York City,SoHo,SoHo,Morning,ElevenLabs,ElevenLabs,,ElevenLabs,elevenlabs,False,,https://partiful.com/e/hVN69QHHQKaL72l700kB,hVN69QHHQKaL72l700kB,https://www.tech-week.com/calendar/nyc
6417,ElevenLabs NY Tech Week PopUp,2026-06-01,11:00:00,Monday,2026-06-01 11:00,New York City,SoHo,SoHo,Morning,ElevenLabs,ElevenLabs,,ElevenLabs,elevenlabs,False,,https://partiful.com/e/hVN69QHHQKaL72l700kB,hVN69QHHQKaL72l700kB,https://www.tech-week.com/calendar/nyc
6418,ElevenLabs NY Tech Week PopUp,2026-06-01,11:00:00,Monday,2026-06-01 11:00,New York City,SoHo,SoHo,Morning,ElevenLabs,ElevenLabs,,ElevenLabs,elevenlabs,False,,https://partiful.com/e/hVN69QHHQKaL72l700kB,hVN69QHHQKaL72l700kB,https://www.tech-week.com/calendar/nyc
6419,ElevenLabs NY Tech Week PopUp,2026-06-01,11:00:00,Monday,2026-06-01 11:00,New York City,SoHo,SoHo,Morning,ElevenLabs,ElevenLabs,,ElevenLabs,elevenlabs,False,,https://partiful.com/e/hVN69QHHQKaL72l700kB,hVN69QHHQKaL72l700kB,https://www.tech-week.com/calendar/nyc
6462,ElevenLabs NY Tech Week PopUp,2026-06-01,11:00:00,Monday,2026-06-01 11:00,New York City,SoHo,SoHo,Morning,ElevenLabs,ElevenLabs,,ElevenLabs,elevenlabs,False,,https://partiful.com/e/hVN69QHHQKaL72l700kB,hVN69QHHQKaL72l700kB,https://www.tech-week.com/calendar/nyc
6619,Why Argentina? Key Facts About Argentina's Knowledge-Based Economy. Zoom in: Argentina Delivers,2026-06-01,11:00:00,Monday,2026-06-01 11:00,New York City,Midtown,Midtown,Morning,Argencon,Argencon,Consulate General of Argentina in New York,Argencon; Consulate General of Argentina in New York,argencon; consulate-general-of-argentina-in-new-york,False,,https://partiful.com/e/WJDHl4NiUwrLHeQxBi7S,WJDHl4NiUwrLHeQxBi7S,https://www.tech-week.com/calendar/nyc
6631,AI-Native Planning: How Companies Are Transforming Supply Chain & Finance Decision-Making,2026-06-01,11:00:00,Monday,2026-06-01 11:00,New York City,Midtown,Midtown,Morning,Pyplan,Pyplan,Consulate General of Argentina in New York,Pyplan; Consulate General of Argentina in New York,pyplan; consulate-general-of-argentina-in-new-york,False,,https://partiful.com/e/499cWPHnN3Uoh8j7C9AN,499cWPHnN3Uoh8j7C9AN,https://www.tech-week.com/calendar/nyc
36,How to Raise a Series A,2026-06-01,11:30:00,Monday,2026-06-01 11:30,New York City,Midtown,Midtown,Morning,Silicon Valley Bank,Silicon Valley Bank,SSM; Pilot; TriNet,Silicon Valley Bank; SSM; Pilot; TriNet,silicon-valley-bank; ssm; pilot; trinet,False,,https://partiful.com/e/ASu0bbJUv36y2648J12G,ASu0bbJUv36y2648J12G,https://www.tech-week.com/calendar/nyc
5014,It’s Not Capital - It’s Execution: Leadership Operating System Office Hours,2026-06-01,11:30:00,Monday,2026-06-01 11:30,New York City,Flatiron,Flatiron,Morning,"Leap Leadership Solutions, LLC","Leap Leadership Solutions, LLC",,"Leap Leadership Solutions, LLC",leap-leadership-solutions-llc,False,,https://partiful.com/e/S5uBXhgNgEtPrRpy6Cx7,S5uBXhgNgEtPrRpy6Cx7,https://www.tech-week.com/calendar/nyc
5969,Fighting deepfake in Age and Identity Verification,2026-06-01,11:30:00,Monday,2026-06-01 11:30,New York City,West Village,West Village,Morning,Reclaim Protocol,Reclaim Protocol,,Reclaim Protocol,reclaim-protocol,False,,https://partiful.com/e/z7K3rnyrNVrwKiHGPokb,z7K3rnyrNVrwKiHGPokb,https://www.tech-week.com/calendar/nyc
100,Young Innovators Showcase : Demo Day x AI Prompt Battle x Wellbeing Lab,2026-06-01,12:00:00,Monday,2026-06-01 12:00,New York City,Upper Manhattan,Upper Manhattan,Noon,The Kijana Company,The Kijana Company,,The Kijana Company,the-kijana-company,False,,https://partiful.com/e/QKl9xqtTykyORMM50ifg,QKl9xqtTykyORMM50ifg,https://www.tech-week.com/calendar/nyc
4294,"If Your AI Can’t Talk and Act, It’s Broken - Agentic Voice Workshop",2026-06-01,12:00:00,Monday,2026-06-01 12:00,New York City,Financial District,Financial District,Noon,"Cloudonix, Inc","Cloudonix, Inc",,"Cloudonix, Inc",cloudonix-inc,False,,https://partiful.com/e/pxdWahJXi0EQklEuU50W,pxdWahJXi0EQklEuU50W,https://www.tech-week.com/calendar/nyc
4375,AI Startup Founders' Lunch hosted by Cherry Hill Advisory,2026-06-01,12:00:00,Monday,2026-06-01 12:00,New York City,Brooklyn,Brooklyn,Noon,Cherry Hill Advisory,Cherry Hill Advisory,,Cherry Hill Advisory,cherry-hill-advisory,False,,https://partiful.com/e/uLi3d5Eel4nuA9hv5YGD,uLi3d5Eel4nuA9hv5YGD,https://www.tech-week.com/calendar/nyc
4625,Raisi: Daily Fundraising Sprint Room,2026-06-01,12:00:00,Monday,2026-06-01 12:00,New York City,Lower East Side,Lower East Side,Noon,Raisi,Raisi,,Raisi,raisi,False,,https://partiful.com/e/chhYZAKGAiEaP3NtQ7y2,chhYZAKGAiEaP3NtQ7y2,https://www.tech-week.com/calendar/nyc
4846,The 30 Min. Pitch Workshop for Figuring Out Your Hook,2026-06-01,12:00:00,Monday,2026-06-01 12:00,New York City,Virtual (NYC),Virtual (NYC),Noon,Pitch Genius,Pitch Genius,,Pitch Genius,pitch-genius,False,,https://partiful.com/e/2OGv1gYwmcdUATOlqkvY,2OGv1gYwmcdUATOlqkvY,https://www.tech-week.com/calendar/nyc
